siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
453668436,1,SARL MAS DES COMTES DE PROVENCE,petite route d'arles,13150,833570.1,6299237.5,43.77952683166294,4.659038903773103
453763427,8,INTERNATIONAL SCHOOL OF LYON,80 chemin du grand roule,69110,840472.8,6516060.2,45.72966526329142,4.806351978345984
453875585,1,PARK INN HOTEL ORANGE,route de caderousse,84100,842885.1,6339086.4,44.136240237679125,4.785892567094583
454048976,1,ODALYS CAMPUS,7 cours bayard,69002,841352.8,6517565.5,45.743038113207504,4.818101783348774
454082082,1,SNC L'ESCALE,avenue du gevaudan,48000,743257.1,6381985.8,44.53560103098384,3.544443211264043
461002347,1,ANSANELLI ANTONIO,place des ecoles,46500,596724.7,6415106.2,44.82742705998785,1.6933546162374573
463201749,1,STE MARIE GRAND LEBRUN,164 avenue charles de gaulle,33200,415179.7,6423314.9,44.850460711571074,-0.6061303633088544
464800929,1,SICA LES VERGERS DE MAUGUIO,route de baillargues,34130,781758.1,6283465.2,43.64551002318183,4.013075692816473
469201818,2,ETS CORDIER,10 quai de paludate,33800,418997.3,6420859.8,44.8299377579083,-0.5564621818865391
477808133,1,BRIC' AUTIZE,route de niort,79160,428619.9,6595635.7,46.40601237231325,-0.5337653783944719
477872212,1,JC´S OPTIQUE,avenue theodore aubanel,84500,839866.2,6357356.1,44.301252873612825,4.753241751802264
478229750,1,DYN'S,1 rue marie marvingt,51100,778355.0,6905371.2,49.24321146579829,4.075906453707496
478235773,2,NATUROFEMININ,impasse des tilleuls,21450,823571.6,6723670.9,47.60183289861485,4.644676322166693
478443641,1,METAMORPHOSES - EPCM,1 bis rue de la course,67000,1049265.6,6841926.2,48.58321026357678,7.738089897312433
478520430,1,LES DELICES DE LA VALLEE,rue gambetta,24220,545742.7,6420771.6,44.868949901402814,1.0467739798271007
478565724,1,OPTIMPROCESS SA,32 rue tronchet,75009,650628.8,6863879.0,48.87304206307065,2.326906590165224
478942253,1,EDULIA,route de brouilla,66740,693412.2,6160522.1,42.54444110675413,2.9199104602783046
478957079,1,VETIDISCOUNT,chemin gaston,33140,416977.2,6414999.1,44.776405120918646,-0.5786349683476357
479043523,2,SARL GARAGE DU BROU,quartier du brou,84860,840393.7,6335458.7,44.10409984790263,4.753756509973592
479425456,2,CENTRE ABA CAMUS SACS,rue de la convention,59650,710697.0,7060566.6,50.64195475742601,3.150965795093393
479885725,1,XPO SUPPLY CHAIN INTERNATIONAL,55 avenue louis breguet,31400,577033.8,6276554.5,43.57738573646675,1.478064809402542
480274620,1,SKINSLAND,rue victor hugo,30430,807170.6,6357002.1,44.30383748777713,4.343413637115417
480280056,1,PATRIMOINE INVEST. MANAGERS,chemin de belbeze,31240,579261.8,6285976.0,43.6625258009319,1.503423976084038
480413988,5,CONTROLE TECHNIQUE AUTO 78,avenue paul raoult,78130,620316.3,6875762.4,48.976866852434824,1.9113570845525716
480446020,1,AUTEUIL INSERTION LE RELAIS D'AUTEUIL,chemin du couvent,44340,352869.8,6686421.7,47.18731786489202,-1.5867896573538862
480448794,1,EI STEPHANE BRUNET,avenue du marais poitevin,79460,427080.3,6585485.9,46.31408703618131,-0.5478519838147465
480470152,1,NORAUTO,chemin de la remise,78240,628899.1,6868264.8,48.910447993067294,2.0299493329452925
480480292,4,ETUDE DE MAITRE FLAVENS JEAN-FRANCOIS,rue des ecoles,73390,950891.5,6497973.6,45.53526445021287,6.215528156949785
480624162,1,EGLEFOR,avenue des papes limousins,19300,626039.6,6478426.4,45.40126822051045,2.0546153282168502
